1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,1
27,27,2
28,28,3
29,29,4
30,30,5
31,31,6
32,32,7
33,33,8
34,34,9
35,35,10
36,36,11
37,37,12
38,38,13
39,39,14
40,40,15
41,41,16
42,42,17
43,43,18
44,44,19
45,45,20
46,46,21
47,47,22
48,48,23
49,49,24
50,50,25
51,1,1
52,2,2
53,3,3
54,4,4
55,5,5
56,6,6
57,7,7
58,8,8
59,9,9
60,10,10
61,11,11
62,12,12
63,13,13
64,14,14
65,15,15
66,16,16
67,17,17
68,18,18
69,19,19
70,20,20
71,21,21
72,22,22
73,23,23
74,24,24
75,25,25
