7,31,7
8,29,8
9,52,6
10,14,9
11,47,2
12,63,3
13,25,4
14,71,10
15,55,5
16,34,8
17,19,1
18,41,10
19,6,7
20,23,3
21,45,9
22,50,5
23,2,4
24,20,1
25,53,6
1,7,2
2,37,8
3,13,3
4,36,4
5,28,5
6,65,9
7,49,2
8,68,6
9,5,3
10,11,7
11,62,8
12,70,4
13,9,5
14,26,10
15,43,7
16,24,1
17,16,2
18,22,6
19,35,9
20,72,8
21,54,5
22,44,10
23,38,3
24,48,4
25,15,1
1,64,2
2,27,6
3,46,7
4,8,5
5,74,3
6,3,8
7,21,4
8,12,10
9,67,1
10,30,9
11,56,6
12,58,2
13,32,7
14,73,3
15,18,5
16,59,10
17,66,4
18,10,1
19,42,8
20,57,2
21,69,9
22,61,3
23,51,6
24,1,7
25,4,5
1,33,10
2,60,1
3,17,8
4,39,3
5,40,4
