35,5,56
26,7,68
15,22,98
28,9,17
46,16,83
6,11,32
32,21,73
49,18,6
10,4,42
40,19,55
11,10,71
18,14,27
27,24,52
13,8,61
37,23,89
45,2,13
21,25,79
50,6,100
41,3,47
47,17,2
23,1,15
24,13,93
43,12,36
34,15,45
2,25,70
38,22,87
3,2,10
17,1,24
30,20,59
16,25,84
29,21,30
39,9,58
38,13,20
25,11,48
31,24,65
35,25,76
4,10,34
15,6,92
22,15,38
48,12,64
8,8,18
14,2,53
18,19,4
7,3,28
36,14,62
50,4,80
31,23,51
44,6,97
3,16,9
25,18,57
39,24,81
26,23,46
32,5,1
40,21,26
9,14,69
42,9,33
29,4,95
16,22,23
47,15,37
20,11,67
11,17,5
48,19,72
10,8,31
37,7,75
45,1,88
2,20,8
33,3,40
43,24,74
6,22,11
33,16,63
46,12,29
17,14,77
12,5,41
24,10,85
19,7,19
13,6,50
27,19,14
36,13,91
49,3,35
7,23,66
23,20,22
8,1,54
34,25,96
30,17,25
22,14,82
42,8,44
